Match ID	taxonomy	annotation ID	ype	distance	relation	product
NG_012921.1/34316-34386(+)	9606	id-BPGM-12	STS	3362	near	None
NG_012921.1/34316-34386(+)	9606	id-BPGM-13	STS	3427	near	None

NG_021364.1/84927-84997(+)	9606	NG_021364.1:1..92371	region	0	inside e7374	['genomic DNA']
NG_021364.1/84927-84997(+)	9606	gene-WDR66	gene	0	inside e5374	None
NG_021364.1/84927-84997(+)	9606	rna-NM_144668.5	mRNA	0	inside e5374	['WD repeat domain 66, transcript variant 1']
NG_021364.1/84927-84997(+)	9606	id-WDR66-23	STS	-1024	near	None
NG_021364.1/84927-84997(+)	9606	id-WDR66-20	exon	1163	near	None
NG_021364.1/84927-84997(+)	9606	exon-NM_144668.5-20	exon	1163	near	['WD repeat domain 66, transcript variant 1']
NG_021364.1/84927-84997(+)	9606	cds-NP_653269.3-19	CDS	1163	near	['cilia- and flagella-associated protein 251 isoform 1']
NG_021364.1/84927-84997(+)	9606	aln0-20	cDNA_match	1163	near	None
NG_021364.1/84927-84997(+)	9606	id-WDR66-21	exon	2944	near	None
NG_021364.1/84927-84997(+)	9606	exon-NM_144668.5-21	exon	2944	near	['WD repeat domain 66, transcript variant 1']
NG_021364.1/84927-84997(+)	9606	cds-NP_653269.3-20	CDS	2944	near	['cilia- and flagella-associated protein 251 isoform 1']
NG_021364.1/84927-84997(+)	9606	aln0-21	cDNA_match	2944	near	None

AC002381.1/38419-38349(-)	9606	gene-COG5	gene	0	inside s20301	None
AC002381.1/38419-38349(-)	9606	rna-COG5	mRNA	0	inside s20301	None

AF168681.1/111990-112060(+)	9606	AF168681.1:1..236303	region	0	inside s111989	['genomic DNA']
AF168681.1/111990-112060(+)	9606	cds-AAG37011.1-5	CDS	1318	near	['CRIM1 protein']
AF168681.1/111990-112060(+)	9606	id-AF168681.1:113378..113560-6	exon	1318	near	None
AF168681.1/111990-112060(+)	9606	cds-AAG37011.1-6	CDS	3926	near	['CRIM1 protein']
AF168681.1/111990-112060(+)	9606	id-AF168681.1:115986..116183-7	exon	3926	near	None

AC007378.4/67172-67102(-)	9606	gene-CRIM1	gene	0	inside s61975	None
AC007378.4/67172-67102(-)	9606	rna-CRIM1	mRNA	0	inside s61975	None
AC007378.4/67172-67102(-)	9606	exon-CRIM1-6	exon	3926	near	None
AC007378.4/67172-67102(-)	9606	cds-AAX88862.1-6	CDS	3926	near	['unknown']
AC007378.4/67172-67102(-)	9606	exon-CRIM1-5	exon	1318	near	None
AC007378.4/67172-67102(-)	9606	cds-AAX88862.1-5	CDS	1318	near	['unknown']

AC093391.5/43454-43384(-)	9606	gene-DARS	gene	0	inside e13866	None
AC093391.5/43454-43384(-)	9606	rna-DARS	mRNA	0	inside e13866	None

NG_052015.1/117854-117924(+)	9606	NG_052015.1:1..158986	region	0	inside e41062	['genomic DNA']
NG_052015.1/117854-117924(+)	9606	gene-ADARB1	gene	0	inside e39062	None
NG_052015.1/117854-117924(+)	9606	rna-NM_015833.3	mRNA	0	inside e39062	['adenosine deaminase RNA specific B1, transcript variant 2']
NG_052015.1/117854-117924(+)	9606	id-ADARB1-6	exon	-4678	near	None
NG_052015.1/117854-117924(+)	9606	exon-NM_015833.3-6	exon	-4678	near	['adenosine deaminase RNA specific B1, transcript variant 2']
NG_052015.1/117854-117924(+)	9606	cds-NP_056648.1-4	CDS	-4678	near	['double-stranded RNA-specific editase 1 isoform 2']
NG_052015.1/117854-117924(+)	9606	aln0-6	cDNA_match	-4678	near	None
NG_052015.1/117854-117924(+)	9606	aln1-5	cDNA_match	-4678	near	None
NG_052015.1/117854-117924(+)	9606	aln2-7	cDNA_match	-4678	near	None
NG_052015.1/117854-117924(+)	9606	aln3-6	cDNA_match	-4678	near	None
NG_052015.1/117854-117924(+)	9606	aln4-6	cDNA_match	-4678	near	None
NG_052015.1/117854-117924(+)	9606	aln5-6	cDNA_match	-4678	near	None
NG_052015.1/117854-117924(+)	9606	aln6-6	cDNA_match	-4678	near	None
NG_052015.1/117854-117924(+)	9606	aln7-6	cDNA_match	-4678	near	None
NG_052015.1/117854-117924(+)	9606	aln8-6	cDNA_match	-4678	near	None
NG_052015.1/117854-117924(+)	9606	aln9-6	cDNA_match	-4678	near	None
NG_052015.1/117854-117924(+)	9606	aln10-6	cDNA_match	-4678	near	None
NG_052015.1/117854-117924(+)	9606	aln11-5	cDNA_match	-4678	near	None
NG_052015.1/117854-117924(+)	9606	id-ADARB1-7	exon	-3921	near	None
NG_052015.1/117854-117924(+)	9606	exon-NM_015833.3-7	exon	-3921	near	['adenosine deaminase RNA specific B1, transcript variant 2']
NG_052015.1/117854-117924(+)	9606	cds-NP_056648.1-5	CDS	-3921	near	['double-stranded RNA-specific editase 1 isoform 2']
NG_052015.1/117854-117924(+)	9606	aln0-7	cDNA_match	-3921	near	None
NG_052015.1/117854-117924(+)	9606	aln1-6	cDNA_match	-3921	near	None
NG_052015.1/117854-117924(+)	9606	aln2-8	cDNA_match	-3921	near	None
NG_052015.1/117854-117924(+)	9606	aln3-7	cDNA_match	-3921	near	None
NG_052015.1/117854-117924(+)	9606	aln4-7	cDNA_match	-3921	near	None
NG_052015.1/117854-117924(+)	9606	aln5-7	cDNA_match	-3921	near	None
NG_052015.1/117854-117924(+)	9606	aln6-7	cDNA_match	-3921	near	None
NG_052015.1/117854-117924(+)	9606	aln7-7	cDNA_match	-3921	near	None
NG_052015.1/117854-117924(+)	9606	aln8-7	cDNA_match	-3921	near	None
NG_052015.1/117854-117924(+)	9606	aln9-7	cDNA_match	-3921	near	None
NG_052015.1/117854-117924(+)	9606	aln10-7	cDNA_match	-3921	near	None
NG_052015.1/117854-117924(+)	9606	aln11-6	cDNA_match	-3921	near	None
NG_052015.1/117854-117924(+)	9606	id-ADARB1-8	exon	-2838	near	None
NG_052015.1/117854-117924(+)	9606	exon-NM_015833.3-8	exon	-2838	near	['adenosine deaminase RNA specific B1, transcript variant 2']
NG_052015.1/117854-117924(+)	9606	cds-NP_056648.1-6	CDS	-2838	near	['double-stranded RNA-specific editase 1 isoform 2']
NG_052015.1/117854-117924(+)	9606	aln0-8	cDNA_match	-2838	near	None
NG_052015.1/117854-117924(+)	9606	aln4-8	cDNA_match	-2838	near	None
NG_052015.1/117854-117924(+)	9606	aln8-8	cDNA_match	-2838	near	None
NG_052015.1/117854-117924(+)	9606	aln9-8	cDNA_match	-2838	near	None
NG_052015.1/117854-117924(+)	9606	aln11-7	cDNA_match	-2838	near	None
NG_052015.1/117854-117924(+)	9606	id-ADARB1-9	exon	-2340	near	None
NG_052015.1/117854-117924(+)	9606	exon-NM_015833.3-9	exon	-2340	near	['adenosine deaminase RNA specific B1, transcript variant 2']
NG_052015.1/117854-117924(+)	9606	cds-NP_056648.1-7	CDS	-2340	near	['double-stranded RNA-specific editase 1 isoform 2']
NG_052015.1/117854-117924(+)	9606	aln0-9	cDNA_match	-2340	near	None
NG_052015.1/117854-117924(+)	9606	aln1-7	cDNA_match	-2340	near	None
NG_052015.1/117854-117924(+)	9606	aln2-9	cDNA_match	-2340	near	None
NG_052015.1/117854-117924(+)	9606	aln3-8	cDNA_match	-2340	near	None
NG_052015.1/117854-117924(+)	9606	aln4-9	cDNA_match	-2340	near	None
NG_052015.1/117854-117924(+)	9606	aln5-8	cDNA_match	-2340	near	None
NG_052015.1/117854-117924(+)	9606	aln6-8	cDNA_match	-2340	near	None
NG_052015.1/117854-117924(+)	9606	aln7-8	cDNA_match	-2340	near	None
NG_052015.1/117854-117924(+)	9606	aln8-9	cDNA_match	-2340	near	None
NG_052015.1/117854-117924(+)	9606	aln9-9	cDNA_match	-2340	near	None
NG_052015.1/117854-117924(+)	9606	aln10-8	cDNA_match	-2340	near	None
NG_052015.1/117854-117924(+)	9606	aln11-8	cDNA_match	-2340	near	None

NG_029143.1/112561-112632(+)	9606	NG_029143.1:1..271435	region	0	inside s112560	['genomic DNA']
NG_029143.1/112561-112632(+)	9606	gene-MAP2K5	gene	0	inside s107560	None
NG_029143.1/112561-112632(+)	9606	rna-NM_145160.2	mRNA	0	inside s107560	['mitogen-activated protein kinase kinase 5, transcript variant 1']
NG_029143.1/112561-112632(+)	9606	id-MAP2K5-10	exon	-3944	near	None
NG_029143.1/112561-112632(+)	9606	exon-NM_145160.2-10	exon	-3944	near	['mitogen-activated protein kinase kinase 5, transcript variant 1']
NG_029143.1/112561-112632(+)	9606	cds-NP_660143.1-10	CDS	-3944	near	['dual specificity mitogen-activated protein kinase kinase 5 isoform A']
NG_029143.1/112561-112632(+)	9606	aln0-10	cDNA_match	-3944	near	None
NG_029143.1/112561-112632(+)	9606	aln1-10	cDNA_match	-3944	near	None
NG_029143.1/112561-112632(+)	9606	aln2-10	cDNA_match	-3944	near	None
NG_029143.1/112561-112632(+)	9606	aln3-10	cDNA_match	-3944	near	None
NG_029143.1/112561-112632(+)	9606	id-MAP2K5-11	exon	-3774	near	None
NG_029143.1/112561-112632(+)	9606	exon-NM_145160.2-11	exon	-3774	near	['mitogen-activated protein kinase kinase 5, transcript variant 1']
NG_029143.1/112561-112632(+)	9606	cds-NP_660143.1-11	CDS	-3774	near	['dual specificity mitogen-activated protein kinase kinase 5 isoform A']
NG_029143.1/112561-112632(+)	9606	aln0-11	cDNA_match	-3774	near	None
NG_029143.1/112561-112632(+)	9606	aln1-11	cDNA_match	-3774	near	None
NG_029143.1/112561-112632(+)	9606	aln2-11	cDNA_match	-3774	near	None
NG_029143.1/112561-112632(+)	9606	aln3-11	cDNA_match	-3774	near	None
NG_029143.1/112561-112632(+)	9606	id-MAP2K5-28	STS	4881	near	None

LT160001.1/82679655-82679725(+)	9541	LT160001.1:1..190673448	region	0	inside s82679654	['genomic DNA']

AC084736.5/70827-70897(+)	9606	AC084736.5:1..180098	region	0	inside s70826	['genomic DNA']
AC084736.5/70827-70897(+)	9606	id-AC084736.5:73726..73756	repeat_region	2829	near	None
AC084736.5/70827-70897(+)	9606	id-AC084736.5:74094..74300	repeat_region	3197	near	None

AY442327.1/8060-8130(+)	9606	AY442327.1:1..143624	region	0	inside s8059	['genomic DNA']
AY442327.1/8060-8130(+)	9606	gene-WRN	gene	0	inside s6211	None
AY442327.1/8060-8130(+)	9606	rna-WRN	mRNA	0	inside s6211	['Werner syndrome']
AY442327.1/8060-8130(+)	9606	id-WRN-46	sequence_alteration	-4913	near	None
AY442327.1/8060-8130(+)	9606	id-WRN-47	sequence_alteration	-4789	near	None
AY442327.1/8060-8130(+)	9606	id-WRN-48	sequence_alteration	-4780	near	None
AY442327.1/8060-8130(+)	9606	id-WRN-49	sequence_alteration	-4706	near	None
AY442327.1/8060-8130(+)	9606	id-WRN-50	sequence_alteration	-4651	near	None
AY442327.1/8060-8130(+)	9606	id-WRN-51	sequence_alteration	-4476	near	None
AY442327.1/8060-8130(+)	9606	id-WRN-52	sequence_alteration	-4221	near	None
AY442327.1/8060-8130(+)	9606	id-WRN	sequence_feature	0	inside s4174	None

NG_008870.1/11212-11282(+)	9606	NG_008870.1:1..147500	region	0	inside s11211	['genomic DNA']
NG_008870.1/11212-11282(+)	9606	gene-WRN	gene	0	inside s6211	None
NG_008870.1/11212-11282(+)	9606	rna-NM_000553.4	mRNA	0	inside s6211	['WRN RecQ like helicase']

AC242655.3/10568-10638(+)	9593	AC242655.3:1..180892	region	0	inside s10567	['genomic DNA']

AH008362.2/19979-20049(+)	9606	AH008362.2:1..186487	region	0	inside s19978	['genomic DNA']
AH008362.2/19979-20049(+)	9606	gene-WRN	gene	0	inside s5652	None
AH008362.2/19979-20049(+)	9606	rna-WRN	mRNA	0	inside s5652	['WRN']

AC098822.3/177426-177356(-)	9606	REVERSE:AC098822.3:1..181792	region	0	inside e4366	['genomic DNA']
AC098822.3/177426-177356(-)	9606	REVERSE:id-AC098822.3:172436..172456	repeat_region	-4900	near	None
AC098822.3/177426-177356(-)	9606	REVERSE:id-AC098822.3:173470..173491	repeat_region	-3865	near	None
AC098822.3/177426-177356(-)	9606	REVERSE:id-AC098822.3:174939..175818	repeat_region	-1538	near	None
AC098822.3/177426-177356(-)	9606	REVERSE:id-AC098822.3:175816..176234	repeat_region	-1122	near	None
AC098822.3/177426-177356(-)	9606	REVERSE:id-AC098822.3:176221..176263	repeat_region	-1093	near	None
AC098822.3/177426-177356(-)	9606	REVERSE:id-AC098822.3:176284..176311	repeat_region	-1045	near	None
AC098822.3/177426-177356(-)	9606	REVERSE:id-AC098822.3:176305..177037	repeat_region	-319	near	None
AC098822.3/177426-177356(-)	9606	REVERSE:id-AC098822.3:177020..178718	repeat_region	0	inside s336	None
AC098822.3/177426-177356(-)	9606	REVERSE:id-AC098822.3:178855..178996	repeat_region	1429	near	None
AC098822.3/177426-177356(-)	9606	REVERSE:id-AC098822.3:179028..179798	repeat_region	1602	near	None
AC098822.3/177426-177356(-)	9606	REVERSE:id-AC098822.3:179629..179657	repeat_region	2203	near	None
AC098822.3/177426-177356(-)	9606	REVERSE:id-AC098822.3:180539..180566	repeat_region	3113	near	None
AC098822.3/177426-177356(-)	9606	REVERSE:id-AC098822.3:180676..180703	repeat_region	3250	near	None
AC098822.3/177426-177356(-)	9606	REVERSE:id-AC098822.3:181401..181553	repeat_region	3975	near	None

AL049836.3/207754-207684(-)	9606	REVERSE:AL049836.3:1..207774	region	0	inside e20	['genomic DNA']

AL355032.6/84149-84219(+)	9606	AL355032.6:1..203108	region	0	inside s84148	['genomic DNA']

AC116447.10/42573-42643(+)	9606	AC116447.10:1..105108	region	0	inside s42572	['genomic DNA']
AC116447.10/42573-42643(+)	9606	id-AC116447.10:39142..39446	repeat_region	-3127	near	None
AC116447.10/42573-42643(+)	9606	id-AC116447.10:42518..42554	repeat_region	-19	near	None
AC116447.10/42573-42643(+)	9606	id-AC116447.10:43371..43371	sequence_uncertainty	728	near	None
AC116447.10/42573-42643(+)	9606	id-AC116447.10:43922..44116	repeat_region	1279	near	None
AC116447.10/42573-42643(+)	9606	id-AC116447.10:45318..45348	repeat_region	2675	near	None
AC116447.10/42573-42643(+)	9606	id-AC116447.10:45919..46010	repeat_region	3276	near	None

AL035067.2/31663-31593(-)	9606	REVERSE:AL035067.2:1..134218	region	0	inside s31592	['genomic DNA']

AC191878.2/106654-106724(+)	9598	AC191878.2:1..231843	region	0	inside s106653	['genomic DNA']

CP011900.1/27307022-27306952(-)	112262	REVERSE:CP011900.1:1..81015546	region	0	inside s27306951	['genomic DNA']

AC078867.11/42830-42900(+)	9606	AC078867.11:1..132701	region	0	inside s42829	['genomic DNA']
AC078867.11/42830-42900(+)	9606	id-AC078867.11:36874..38259	repeat_region	-4571	near	None
AC078867.11/42830-42900(+)	9606	id-AC078867.11:38366..39101	repeat_region	-3729	near	None
AC078867.11/42830-42900(+)	9606	id-AC078867.11:39651..40189	repeat_region	-2641	near	None
AC078867.11/42830-42900(+)	9606	id-AC078867.11:40588..40665	repeat_region	-2165	near	None
AC078867.11/42830-42900(+)	9606	id-AC078867.11:42779..42808	repeat_region	-22	near	None
AC078867.11/42830-42900(+)	9606	id-AC078867.11:44886..44940	repeat_region	1986	near	None
AC078867.11/42830-42900(+)	9606	id-AC078867.11:45556..45630	repeat_region	2656	near	None
AC078867.11/42830-42900(+)	9606	id-AC078867.11:45803..46080	repeat_region	2903	near	None

AL358788.17/46647-46717(+)	9606	AL358788.17:1..76982	region	0	inside e30265	['genomic DNA']

AC218925.1/114821-114891(+)	9796	AC218925.1:1..190129	region	0	inside e75238	['genomic DNA']
AC218925.1/114821-114891(+)	9796	id-AC218925.1:112738..113081	repeat_region	-1740	near	None
AC218925.1/114821-114891(+)	9796	id-AC218925.1:114497..114559	repeat_region	-262	near	None
AC218925.1/114821-114891(+)	9796	id-AC218925.1:114556..114821	repeat_region	0	partial e335	None
AC218925.1/114821-114891(+)	9796	id-AC218925.1:116665..116686	repeat_region	1774	near	None

AF130359.3/862-792(-)	9606	REVERSE:AF130359.3:1..146412	region	0	inside s791	['genomic DNA']

AL121762.13/149077-149007(-)	9606	REVERSE:AL121762.13:1..164521	region	0	inside e15444	['genomic DNA']

AC187575.2/7825-7895(+)	9601	AC187575.2:1..210860	region	0	inside s7824	['genomic DNA']

FN405557.1/463-533(+)	9796	FN405557.1:1..841	region	0	inside e308	['genomic DNA']
FN405557.1/463-533(+)	9796	id-FN405557.1:400..441	region	-22	near	None

AC005062.1/55615-55545(-)	9606	REVERSE:AC005062.1:1..119927	region	0	inside s55544	['genomic DNA']
AC005062.1/55615-55545(-)	9606	REVERSE:id-AC005062.1:50371..50754	repeat_region	-4791	near	None
AC005062.1/55615-55545(-)	9606	REVERSE:id-AC005062.1:50755..50940	repeat_region	-4605	near	None
AC005062.1/55615-55545(-)	9606	REVERSE:id-AC005062.1:50978..51183	repeat_region	-4362	near	None
AC005062.1/55615-55545(-)	9606	REVERSE:id-AC005062.1:55665..55969	repeat_region	50	near	None
AC005062.1/55615-55545(-)	9606	REVERSE:id-AC005062.1:58095..58119	repeat_region	2480	near	None
AC005062.1/55615-55545(-)	9606	REVERSE:id-AC005062.1:58119..58282	repeat_region	2504	near	None
AC005062.1/55615-55545(-)	9606	REVERSE:id-AC005062.1:58299..59593	repeat_region	2684	near	None
AC005062.1/55615-55545(-)	9606	REVERSE:id-AC005062.1:59594..60513	repeat_region	3979	near	None
AC005062.1/55615-55545(-)	9606	REVERSE:id-AC005062.1:60521..62615	repeat_region	4906	near	None

AC073342.3/12258-12328(+)	9606	AC073342.3:1..167869	region	0	inside s12257	['genomic DNA']
AC073342.3/12258-12328(+)	9606	id-AC073342.3:6559..7386	repeat_region	-4872	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:7406..7429	repeat_region	-4829	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:7468..7511	repeat_region	-4747	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:7626..7981	repeat_region	-4277	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:8288..8579	repeat_region	-3679	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:8741..9077	repeat_region	-3181	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:9694..9898	repeat_region	-2360	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:11416..11535	repeat_region	-723	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:12023..13230	repeat_region	0	inside s235	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:12889..12889	sequence_alteration	561	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:13216..14551	repeat_region	888	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:14555..14598	repeat_region	2227	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:14616..15139	repeat_region	2288	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:15475..15718	repeat_region	3147	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:15719..16083	repeat_region	3391	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:16084..16188	repeat_region	3756	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:16404..16693	repeat_region	4076	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:16708..16838	repeat_region	4380	near	None
AC073342.3/12258-12328(+)	9606	id-AC073342.3:17123..17285	repeat_region	4795	near	None

CP011912.1/112030587-112030518(-)	112262	REVERSE:CP011912.1:1..135657913	region	0	inside e23627326	['genomic DNA']

LT160000.1/12921362-12921292(-)	9541	REVERSE:LT160000.1:1..229594237	region	0	inside s12921291	['genomic DNA']

Z70225.1/5242-5172(-)	9606	REVERSE:Z70225.1:1..38461	region	0	inside s5171	['genomic DNA']
Z70225.1/5242-5172(-)	9606	REVERSE:id-Z70225.1:101..38461	sequence_feature	0	inside s5071	None

AC193208.3/48495-48425(-)	9598	REVERSE:AC193208.3:1..149945	region	0	inside s48424	['genomic DNA']

AL121876.34/18555-18485(-)	9606	REVERSE:AL121876.34:1..136549	region	0	inside s18484	['genomic DNA']

NG_012566.3/771294-771224(-)	9606	REVERSE:NG_012566.3:1..1208515	region	0	inside e437221	['genomic DNA']
NG_012566.3/771294-771224(-)	9606	REVERSE:gene-IL1RAPL2	gene	0	inside e435221	None
NG_012566.3/771294-771224(-)	9606	REVERSE:rna-NM_017416.1	mRNA	0	inside e435221	['interleukin 1 receptor accessory protein like 2']

CP011887.1/31658968-31659038(+)	112262	CP011887.1:1..249270926	region	0	inside s31658967	['genomic DNA']

AL591104.3/11603-11673(+)	9606	AL591104.3:1..24401	region	0	inside s11602	['genomic DNA']

AC012467.9/6247-6314(+)	9606	AC012467.9:1..177072	region	0	inside s6246	['genomic DNA']
AC012467.9/6247-6314(+)	9606	id-AC012467.9:2274..2627	repeat_region	-3620	near	None
AC012467.9/6247-6314(+)	9606	id-AC012467.9:2628..2901	repeat_region	-3346	near	None
AC012467.9/6247-6314(+)	9606	id-AC012467.9:2902..3248	repeat_region	-2999	near	None
AC012467.9/6247-6314(+)	9606	id-AC012467.9:4860..5145	repeat_region	-1102	near	None
AC012467.9/6247-6314(+)	9606	id-AC012467.9:5197..5473	STS	-774	near	None
AC012467.9/6247-6314(+)	9606	id-AC012467.9:5402..5427	repeat_region	-820	near	None
AC012467.9/6247-6314(+)	9606	id-AC012467.9:8762..9208	repeat_region	2448	near	None
AC012467.9/6247-6314(+)	9606	id-AC012467.9:10353..10381	repeat_region	4039	near	None

AC113172.2/85664-85731(+)	9606	AC113172.2:1..149634	region	0	inside e63903	['genomic DNA']

AC040173.5/156451-156521(+)	9606	AC040173.5:1..192971	region	0	inside e36450	['genomic DNA']

AC012626.10/68424-68494(+)	9606	AC012626.10:1..149370	region	0	inside s68423	['genomic DNA']
AC012626.10/68424-68494(+)	9606	id-AC012626.10:1..149370	region	0	inside s68423	None

AC122176.2/43716-43786(+)	9606	AC122176.2:1..176367	region	0	inside s43715	['genomic DNA']

AC040171.4/64417-64487(+)	9606	AC040171.4:1..151368	region	0	inside s64416	['genomic DNA']
AC040171.4/64417-64487(+)	9606	id-AC040171.4:1..151368	region	0	inside s64416	None

CP011900.1/63810762-63810832(+)	112262	CP011900.1:1..81015546	region	0	inside e17204714	['genomic DNA']

KX224531.1/169977-169906(-)	9601	REVERSE:KX224531.1:1..805775	region	0	inside s169905	['genomic DNA']

AL353756.5/115397-115467(+)	9606	AL353756.5:1..146155	region	0	inside e30688	['genomic DNA']

AC192858.2/10024-9954(-)	9598	REVERSE:AC192858.2:1..156876	region	0	inside s9953	['genomic DNA']

AC197855.4/84648-84718(+)	9598	AC197855.4:1..192147	region	0	inside s84647	['genomic DNA']
AC197855.4/84648-84718(+)	9598	id-AC197855.4:85306..85339	sequence_uncertainty	588	near	None

AC200649.4/154234-154304(+)	9598	AC200649.4:1..209041	region	0	inside e54737	['genomic DNA']

AL034410.9/81389-81459(+)	9606	AL034410.9:1..155021	region	0	inside e73562	['genomic DNA']

AC192844.4/110964-111034(+)	9598	AC192844.4:1..225992	region	0	inside s110963	['genomic DNA']

AC202230.2/178028-178098(+)	9598	AC202230.2:1..183185	region	0	inside e5087	['genomic DNA']

AC193045.2/78774-78844(+)	9598	AC193045.2:1..202009	region	0	inside s78773	['genomic DNA']

AC009276.9/152617-152687(+)	9606	AC009276.9:1..163631	region	0	inside e10944	['genomic DNA']
AC009276.9/152617-152687(+)	9606	id-AC009276.9:156115..156203	STS	3428	near	None

AC083874.2/83800-83870(+)	9606	AC083874.2:1..186281	region	0	inside s83799	['genomic DNA']
AC083874.2/83800-83870(+)	9606	id-AC083874.2:87298..87386	STS	3428	near	None

AC191737.2/159569-159639(+)	9598	AC191737.2:1..225948	region	0	inside e66309	['genomic DNA']

AC197504.3/32726-32796(+)	9544	AC197504.3:1..169058	region	0	inside s32725	['genomic DNA']

BX088563.4/90746-90816(+)	9606	BX088563.4:1..97771	region	0	inside e6955	['genomic DNA']

AC196250.3/84644-84714(+)	9598	AC196250.3:1..148746	region	0	inside e64032	['genomic DNA']

AC083807.17/46144-46214(+)	9606	AC083807.17:1..123587	region	0	inside s46143	['genomic DNA']
AC083807.17/46144-46214(+)	9606	id-AC083807.17:41036..41402	repeat_region	-4742	near	None
AC083807.17/46144-46214(+)	9606	id-AC083807.17:43266..43837	repeat_region	-2307	near	None
AC083807.17/46144-46214(+)	9606	id-AC083807.17:44038..44380	repeat_region	-1764	near	None
AC083807.17/46144-46214(+)	9606	id-AC083807.17:45331..45356	repeat_region	-788	near	None
AC083807.17/46144-46214(+)	9606	id-AC083807.17:46425..47825	repeat_region	211	near	None
AC083807.17/46144-46214(+)	9606	id-AC083807.17:47919..48350	repeat_region	1705	near	None
AC083807.17/46144-46214(+)	9606	id-AC083807.17:48354..48725	repeat_region	2140	near	None
AC083807.17/46144-46214(+)	9606	id-AC083807.17:48761..49006	repeat_region	2547	near	None
AC083807.17/46144-46214(+)	9606	id-AC083807.17:50736..50949	repeat_region	4522	near	None
AC083807.17/46144-46214(+)	9606	id-AC083807.17:50953..51253	repeat_region	4739	near	None

